Field ID,Location,Burn Severity,Treatment,pH,DOC,TDN,Na,NH4,K,Mg,Ca,Cl,NO3,PO4,SO4
H_C_01,Quarry,High,Control,7.8,1.954200503,0.586002,0.01997191,0.105411769,0.405329624,0.213286964,1.673069579,0.103899001,0.326958505,0.048417598,0.532633726
H_C_02,Quarry,High,Control,7.75,1.461574407,0.573848069,0.022359935,0.15567502,0.588238175,0.212340428,3.449069657,0.093814683,0.559543707,0.143790971,0.46985246
H_C_03,Quarry,High,Control,7.43,2.235891366,0.743606339,0.023857439,0.152991322,0.914227457,0.392035379,2.102843095,0.051642961,0.737666868,0.052626236,0.407763925
H_C_04,Quarry,High,Control,7.37,2.195404749,0.69152865,0.023248009,0.108386526,0.739997932,0.307898029,2.757158268,0.125814462,0.482654583,0.143990908,0.483752895
H_C_05,Quarry,High,Control,7.37,1.032267193,0.794876676,0.026729416,0.105462813,0.73044002,0.298332498,1.678633483,0.077719062,0.223120312,0.052465548,0.6632329
H_C_06,Quarry,High,Control,7.41,2.205012165,0.886164001,0.035143329,0.13754075,0.67883113,0.47416629,2.512472168,0.139278788,0.84612943,0.11626466,0.88402523
H_C_07,Quarry,High,Control,7.55,2.46549977,0.817273146,0.028980721,0.241366391,0.529520033,0.369373025,2.790038601,0.056999116,0.576552352,0.068673219,0.551674739
H_FR_01,Quarry,High,Fire Retardant,7.36,1.51164539,0.472376596,0.024662704,0.021515895,0.582959785,0.255689951,2.318841558,0.096439012,1.385510001,0.174764947,0.490385398
H_FR_02,Quarry,High,Fire Retardant,7.73,1.202313312,1.012057139,0.012065498,0.02155696,0.492519514,0.376188644,3.020361132,0.076151547,1.882769326,0.181457772,0.468925966
H_FR_03,Quarry,High,Fire Retardant,7.63,2.223161993,0.438238461,0.022811447,0.03198315,0.887040674,0.38713561,3.546563023,0.09767203,1.066726099,0.248526988,0.482496676
H_FR_04,Quarry,High,Fire Retardant,7.33,1.418531037,0.785831016,0.039433509,0.061002517,0.577195712,0.236246563,2.139198255,0.109959496,1.291714593,0.422313456,0.497523626
H_FR_05,Quarry,High,Fire Retardant,7.38,1.184011485,0.522803706,0.024031157,0.028849097,0.538129065,0.247750581,2.302195203,0.093658175,0.867845848,0.154486145,0.302619025
H_FR_06,Quarry,High,Fire Retardant,7.51,1.989933605,0.563131478,0.03361847,0.023835369,0.738830231,0.351029768,2.575779576,0.057572809,1.515235926,0.113703135,0.465392863
H_FR_07,Quarry,High,Fire Retardant,7.56,2.328471384,0.693641519,0.022030918,0.031504112,0.442732905,0.213478019,2.242149493,0.075452597,1.02771959,0.24885586,0.322963713
L_C_01,Quarry,Low,Control,7.22,1.21139922,1.210014764,0.037052445,0.006494625,1.237060607,0.171176627,1.004554259,0.098364275,0.239649979,0.069237169,0.198666446
L_C_02,Quarry,Low,Control,7.08,1.179401993,1.274667774,0.035442168,0.003968788,0.980184761,0.139937002,0.778332449,0.08740038,0.447833068,0.128568018,0.282061189
L_C_03,Quarry,Low,Control,6.9,1.277954257,0.692480813,0.024420679,0.002290625,0.6214267,0.06357862,0.561055096,0.090655195,0.164168081,0.046844053,0.148615159
L_C_04,Quarry,Low,Control,6.93,1.550755644,1.158302236,0.061966806,0.003216062,1.094767443,0.216737694,0.522161398,0.17924057,0.148794632,0.088731761,0.2235966
L_C_05,Quarry,Low,Control,6.89,0.940153642,0.90257214,0.023083828,0.003642611,0.935560891,0.104068297,0.97933796,0.036565919,0.1831019,0.134555689,0.198288447
L_C_06,Quarry,Low,Control,6.88,0.916638545,0.923645511,0.045364634,0.00569557,0.778904368,0.102181337,0.532900343,0.055043838,0.081669722,0.134777403,0.196627701
L_C_07,Quarry,Low,Control,7.09,0.893606349,0.882784127,0.047961512,0.009974547,0.535774196,0.107903658,0.54819114,0.031617903,0.088736374,0.077540582,0.257901435
L_FR_01,Quarry,Low,Fire Retardant,7.07,1.65080569,1.434161622,0.025978823,0.031029194,0.552846688,0.369241455,2.871923473,0.039544592,2.923390723,0.207995836,0.56838002
L_FR_02,Quarry,Low,Fire Retardant,7.77,1.537493974,0.937580846,0.022164104,0.029198566,0.691669233,0.523752217,2.571509922,0.032283955,1.557845578,0.250229877,0.710424276
L_FR_03,Quarry,Low,Fire Retardant,7.43,1.741837088,1.219476604,0.045709262,0.029415659,0.811058488,0.549085966,4.081998918,0.065723444,1.843302571,0.374495991,0.638956789
L_FR_04,Quarry,Low,Fire Retardant,7.63,2.113133756,0.892035826,0.03703834,0.022925244,0.69362063,0.478958201,2.249259804,0.030425146,2.013000132,0.332336931,0.299670045
L_FR_05,Quarry,Low,Fire Retardant,7.65,1.475110738,1.380273561,0.0182055,0.033215042,0.522815278,0.480063985,2.087933827,0.03178598,2.832852195,0.306972762,0.822300056
L_FR_06,Quarry,Low,Fire Retardant,7.98,1.398754571,1.186737524,0.02816772,0.033979726,0.55330405,0.356325459,1.9187106,0.033889175,2.335678673,0.363185201,0.5948446
L_FR_07,Quarry,Low,Fire Retardant,7.43,1.475696392,1.119923196,0.019831941,0.038837263,0.543348271,0.416052173,1.793000805,0.017772845,1.557137277,0.332154937,0.615943269
M_C_01,Quarry,Moderate,Control,7.48,2.485389501,0.899099491,0.02293855,0.096533822,0.760041202,0.50318008,2.718680185,0.032020206,0.762388875,0.031805628,0.332972086
M_C_02,Quarry,Moderate,Control,7.32,2.217152734,0.7894367,0.01474159,0.10966011,0.770706826,0.249445746,2.659750817,0.02606635,1.133772722,0.073789154,0.207068332
M_C_03,Quarry,Moderate,Control,7.16,1.709815504,1.289831149,0.029842448,0.117467667,1.038928602,0.462618407,2.25423617,0.049383759,0.709271559,0.074984633,0.349981715
M_C_04,Quarry,Moderate,Control,7.54,0.828805215,0.833370238,0.01935054,0.263727847,0.661940293,0.446603119,3.126808171,0.052337231,1.007764502,0.057314595,0.434343914
