"","plot","site","sev","trt","elev","slope","tpi","aspect"
"1","HC01","quarry","high","con",2082,17.4946556,5.7700195,41.8201714
"2","HC02","quarry","high","con",2118,18.1850128,0.9599609,340.2011108
"3","HC03","quarry","high","con",2264,14.474741,1.7900391,106.6992416
"4","HC04","quarry","high","con",1987,14.9122009,9.8599854,21.8014088
"5","HC05","quarry","high","con",2008,19.6264286,-3.6899414,33.6900673
"6","HC06","quarry","high","con",2009,9.3662157,3.5799561,347.0053711
"7","HC07","quarry","high","con",2158,16.6343422,-3.7199707,65.5560455
"8","HFR01","quarry","high","fr",2229,18.5649109,2.8300781,6.3401909
"9","HFR02","quarry","high","fr",2195,16.5533714,4.3400879,343.0724792
"10","HFR03","quarry","high","fr",2256,11.5655661,3.3701172,25.0168934
"11","HFR04","quarry","high","fr",2263,14.569787,1.1000977,92.7263107
"12","HFR05","quarry","high","fr",2275,12.4705963,0.7900391,296.5650635
"13","HFR06","quarry","high","fr",2137,33.0510521,1.9299316,51.1701736
"14","HFR07","quarry","high","fr",2247,9.3662157,1.4499512,102.9946136
"15","LC01","quarry","low","con",1940,17.0059414,-8.75,345.9637451
"16","LC02","quarry","low","con",1988,23.3898735,7.6899414,149.0362396
"17","LC03","quarry","low","con",2163,17.188015,-4.3200684,267.7093811
"18","LC04","quarry","low","con",2065,21.4499989,6.0500488,102.7243576
"19","LC05","quarry","low","con",1998,24.123188,2.2700195,276.3401794
"20","LC06","quarry","low","con",2159,19.8212261,-0.0800781,84.0938568
"21","LC07","quarry","low","con",2052,12.8418512,11.7800293,130.6012878
"22","LFR01","quarry","low","fr",2004,20.9993572,3.1600342,345.068573
"23","LFR02","quarry","low","fr",2123,18.3524609,1.5200195,153.4349518
"24","LFR03","quarry","low","fr",2166,8.4961805,-3.1201172,65.5560455
"25","LFR04","quarry","low","fr",1997,30.4440708,7.3599854,112.2490234
"26","LFR05","quarry","low","fr",2245,18.3524609,-1.3601074,243.4349518
"27","LFR06","quarry","low","fr",2250,9.7703352,4.1699219,111.0375137
"28","LFR07","quarry","low","fr",2033,16.7948437,2.6199951,34.9920197
"29","MC01","quarry","mod","con",2129,19.8212261,2.1298828,157.8336487
"30","MC02","quarry","mod","con",2248,14.569787,-1.4899902,357.2736816
"31","MC03","quarry","mod","con",1978,19.8212261,2.1600342,84.0938568
"32","MC04","quarry","mod","con",2167,17.7946815,3.4199219,15.6422462
"33","MC05","quarry","mod","con",2122,33.608799,3.0100098,80.3624649
"34","MC06","quarry","mod","con",2177,21.0588951,6.8100586,5.5275393
"35","MC07","quarry","mod","con",1987,11.8891087,6.5300293,356.6335449
"36","MFR01","quarry","mod","fr",1951,19.0033855,0.3900146,111.0375137
