plot,code,species
HC01,CAREX SP.,Carex sp.
HC01,COLPAR,Collinsia parviflora 
HC01,HELANN,Helianthus annuus
HC01,QUEGAM,Quercus gambelii
HC01,APOAND,Apocynum androsaemifolium
HC01,HARTRA,Harbouria trachypleura
HC01,CHEALB,Chenopodium album
HC01,PHAHAS,Phacelia hastata
HC01,LACSER,Lactuca serriola
HC01,PENVIR,Penstemon virens
HC02,TRIAES,Triticum aestivum
HC02,GERBIC,Geranium bicknellii
HC02,ACHMIL,Achillea millefolium
HC02,QUEGAM,Quercus gambelii
HC02,CEAFEN,Ceanothus fendleri
HC02,VERTHA,Verbascum thapsus
HC02,CLAPER,Claytonia perfoliata
HC02,LACSER,Lactuca serriola
HC02,MAHREP,Mahonia repens
HC02,CAMPET,Campanula petiolata
HC03,QUEGAM,Quercus gambelii
HC03,MAHREP,Mahonia repens
HC03,CLAPER,Claytonia perfoliata
HC03,CAREX SP.,Carex sp.
HC03,COLLIN,Collomia linearis
HC03,BROTEC,Bromus tectorum
HC03,BROINE,Bromus inermis
HC03,COLPAR,Collinsia parviflora 
HC03,GALAPA,Galium aparine
HC03,SENINT,Senecio integerrimus 
HC03,LACSER,Lactuca serriola
HC03,CHAANG,Chamerion angustifolium
HC03,CHEALB,Chenopodium album
HC03,TAROFF,Taraxacum officinale
HC04,QUEGAM,Quercus gambelii
HC04,CAREX SP.,Carex sp.
HC04,CHEHYB,Chenopodiastrum hybridium
HC04,PHYMON2,Physocarpus monogynus
HC04,GALAPA,Galium aparine
HC04,AGOGLA,Agoseris glauca
HC04,MAHREP,Mahonia repens
HC04,GALBOR,Galium boreale
HC04,LATLAN,Lathyrus lanszwertii
HC04,TAROFF,Taraxacum officinale
HC04,CHEALB,Chenopodium album
HC04,CAMMIC,Camelina microcarpa
HC04,DESPIN,Descurainia pinnata
HC04,BROTEC,Bromus tectorum
HC04,CLAPER,Claytonia perfoliata
HC04,CERMON,Cercocarpus montanus
HC04,SCUBRI,Scutellaria brittonii
HC04,ALLCER,Allium cernuum
HC04,CALGUN,Calochortus gunnisonii
HC04,VIONUT,Viola nuttallii
HC04,SYMALB,Symphoricarpos albus
HC04,LACSER,Lactuca serriola
HC05,ARNLAT,Arnica latifolia
HC05,COLPAR,Collinsia parviflora 
HC05,CLAPER,Claytonia perfoliata
HC05,MAHREP,Mahonia repens
HC05,COLLIN,Collomia linearis
HC05,LACSER,Lactuca serriola
HC05,ALLCER,Allium cernuum
HC05,QUEGAM,Quercus gambelii
HC05,APOAND,Apocynum androsaemifolium
HC05,PENVIR,Penstemon virens
HC05,CHAANG,Chamerion angustifolium
HC05,LATLAN,Lathyrus lanszwertii
HC05,GERBIC,Geranium bicknellii
HC05,CHEHYB,Chenopodiastrum hybridium
HC05,CLARUB,Claytonia rubra
HC05,SILANT,Silene antirrhina
HC05,PSEJAM,Pseudostellaria jamesiana
HC05,POLDOU,Polygonum douglasii 
HC05,HESCOM,Hesperostipa comata
HC05,GAYDIF,Gayophytum diffusum
HC05,TAROFF,Taraxacum officinale
HC05,POACOM,Poa compressa
HC06,MAHREP,Mahonia repens
HC06,CHEHYB,Chenopodiastrum hybridium
HC06,TAROFF,Taraxacum officinale
HC06,GALAPA,Galium aparine
HC06,QUEGAM,Quercus gambelii
HC06,ROSARK,Rosa arkansana
HC06,DRAPAR,Dracocephalum parviflorum
HC06,CAREX SP.,Carex sp.
HC06,CLAPER,Claytonia perfoliata
HC06,SYMALB,Symphoricarpos albus
HC06,GERRIC,Geranium richardsonii
HC06,DELNUT,Delphinium nuttallianum
HC06,PRUVIR,Prunus virginiana
HC06,ELLNYC,Ellisia nyctelea
HC06,THLARV,Thlaspi arvense
HC06,CHEFRE,Chenopodium fremontii
HC07,GERBIC,Geranium bicknellii
HC07,TRIAES,Triticum aestivum
HC07,APOAND,Apocynum androsaemifolium
HC07,MAHREP,Mahonia repens
HC07,ARNLAT,Arnica latifolia
HC07,DRYFIS,Drymocallis fissa
HC07,CHAANG,Chamerion angustifolium
HC07,CLAPER,Claytonia perfoliata
HC07,COLPAR,Collinsia parviflora 
HC07,CHEHYB,Chenopodiastrum hybridium
HC07,LACSER,Lactuca serriola
HC07,CAREX SP.,Carex sp.
HC07,GAYDIF,Gayophytum diffusum
HC07,BROTEC,Bromus tectorum
HC07,QUEGAM,Quercus gambelii
HC07,CAMPET,Campanula petiolata
HC07,CORAUR,Corydalis aurea
HFR01,CEAFEN,Ceanothus fendleri
HFR01,POLDOU,Polygonum douglasii 
HFR01,TRIAES,Triticum aestivum
HFR01,PHAHAS,Phacelia hastata
HFR01,ACEGLA,Acer glabrum
HFR01,CHEALB,Chenopodium album
HFR01,QUEGAM,Quercus gambelii
HFR01,CORAUR,Corydalis aurea
HFR01,ACHMIL,Achillea millefolium
HFR02,BROTEC,Bromus tectorum
HFR02,MERLAN,Mertensia lanceolata
HFR02,CAREX SP.,Carex sp.
HFR02,CHEHYB,Chenopodiastrum hybridium
HFR02,COLPAR,Collinsia parviflora 
HFR02,AGOGLA,Agoseris glauca
HFR02,MALNEG,Malva neglecta
HFR02,LACSER,Lactuca serriola
HFR02,GERBIC,Geranium bicknellii
HFR02,POLDOU,Polygonum douglasii 
HFR02,QUEGAM,Quercus gambelii
HFR02,CLAPER,Claytonia perfoliata
HFR02,ACEGLA,Acer glabrum
HFR02,VIOCAN,Viola canadensis
HFR02,GALAPA,Galium aparine
HFR03,LACSER,Lactuca serriola
HFR03,CHAANG,Chamerion angustifolium
HFR03,GAYDIF,Gayophytum diffusum
HFR03,MERLAN,Mertensia lanceolata
HFR03,MAHREP,Mahonia repens
HFR03,CAREX SP.,Carex sp.
HFR03,ACHMIL,Achillea millefolium
HFR04,TRIAES,Triticum aestivum
HFR04,CLAPER,Claytonia perfoliata
HFR04,QUEGAM,Quercus gambelii
HFR04,BROINE,Bromus inermis
HFR04,POAPRA,Poa pratensis
HFR04,COLPAR,Collinsia parviflora 
HFR04,DELNUT,Delphinium nuttallianum
HFR04,CAREX SP.,Carex sp.
HFR04,COLLIN,Collomia linearis
HFR04,TAROFF,Taraxacum officinale
HFR04,LACSER,Lactuca serriola
HFR04,SENINT,Senecio integerrimus 
HFR04,GAYDIF,Gayophytum diffusum
HFR04,ACHMIL,Achillea millefolium
HFR04,MAHREP,Mahonia repens
HFR04,VIONUT,Viola nuttallii
HFR05,TRIAES,Triticum aestivum
HFR05,GAYDIF,Gayophytum diffusum
HFR05,ACHMIL,Achillea millefolium
HFR05,CORAUR,Corydalis aurea
HFR05,QUEGAM,Quercus gambelii
HFR05,LACSER,Lactuca serriola
HFR05,BROINE,Bromus inermis
HFR05,COLPAR,Collinsia parviflora 
HFR05,POLDOU,Polygonum douglasii 
HFR05,VIONUT,Viola nuttallii
HFR05,HARTRA,Harbouria trachypleura
HFR05,HETVIL,Heterotheca villosa
HFR05,SENINT,Senecio integerrimus 
HFR05,ALLCER,Allium cernuum
HFR06,DRAPAR,Dracocephalum parviflorum
HFR06,TRIAES,Triticum aestivum
HFR06,LACSER,Lactuca serriola
HFR06,CLAPER,Claytonia perfoliata
HFR06,COLPAR,Collinsia parviflora 
HFR06,QUEGAM,Quercus gambelii
HFR06,HARTRA,Harbouria trachypleura
HFR06,CAMPET,Campanula petiolata
HFR06,CHAANG,Chamerion angustifolium
HFR06,APOAND,Apocynum androsaemifolium
HFR06,POLDOU,Polygonum douglasii 
HFR06,CAREX SP.,Carex sp.
HFR06,ACHMIL,Achillea millefolium
HFR06,CEAFEN,Ceanothus fendleri
HFR06,ARTLUD,Artemesia ludoviciana
HFR07,CLAPER,Claytonia perfoliata
HFR07,BROINE,Bromus inermis
HFR07,APOAND,Apocynum androsaemifolium
HFR07,QUEGAM,Quercus gambelii
HFR07,CAREX SP.,Carex sp.
