code,species,duration,functional group,status
ACEGLA,Acer glabrum,perennial,shrub,N
ACHMIL,Achillea millefolium,perennial,forb,N
ACOCOL,Aconitum columbianum,perennial,forb,N
AGOAUR,Agoseris aurantiaca,perennial,forb,N
AGOGLA,Agoseris glauca,perennial,forb,N
AGRCRI,Agropyron cristatum,perennial,gram,I
ALLCER,Allium cernuum,perennial,forb,N
ALLTEX,Allium textile,perennial,forb,N
ALYSIM,Alyssum simplex,annual,forb,I
AMBPSI,Ambrosia psilostachya,annual,forb,N
AMEALN,Amelanchier alnifolia,perennial,shrub,N
ANDGER,Andropogon gerardii,perennial,gram,N
ANTPAR,Antennaria parvifolia,perennial,forb,N
APOAND,Apocynum androsaemifolium,perennial,forb,N
AQUCOE,Aquilegia coerulea,perennial,forb,N
ARGPOL,Argemone polyanthemos,annual,forb,N
ARIPUR,Aristida purpurea,annual,gram,N
ARNCOR,Arnica cordifolia,perennial,forb,N
ARNLAT,Arnica latifolia,perennial,forb,N
ARTDRA,Artemesia dracunculus,perennial,forb,N
ARTFRI,Artemesia frigida,perennial,forb,N
ARTLUD,Artemesia ludoviciana,perennial,forb,N
ASCPUM,Asclepias pumila,perennial,forb,N
ASCVIR,Asclepias viridiflora,perennial,forb,N
ASTAGR,Astragalus agrestis,perennial,forb,N
ASTCRA,Astragalus crassicarpus,perennial,forb,N
ASTDRU,Astragalus drummondii,perennial,forb,N
ASTFLE,Astragalus flexuosus,perennial,forb,N
ASTLAX,Astragalus laxmannii,perennial,forb,N
ASTMIS,Astragalus miser,perennial,forb,N
ASTPAR,Astragalus parryi,perennial,forb,N
ASTSHO,Astragalus shortianus,perennial,forb,N
BOESTR,Boechera stricta,perennial,forb,N
BOUGRA,Boutelou gracilis,perennial,gram,N
BOUCUR,Bouteloua curtipendula,perennial,gram,N
BROINE,Bromus inermis,perennial,gram,I
BROJAP,Bromus japonicus,annual,gram,I
BROTEC,Bromus tectorum,annual,gram,I
CALGUN,Calochortus gunnisonii,perennial,forb,N
CAMMIC,Camelina microcarpa,annual,forb,I
CAMPET,Campanula petiolata,perennial,forb,N
CAMROT,Campanula rotundifolia,perennial,forb,N
CARNUT,Carduus nutans,perennial,forb,I
CAREX SP.,Carex sp.,NA,gram,NA
CAREX SP. 2,Carex sp. 2,NA,gram,NA
CEAFEN,Ceanothus fendleri,perennial,shrub,N
CEAHER,Ceanothus herbaceus,perennial,shrub,N
CELOCC,Celtis occidentalis,perennial,shrub,N
CELRET,Celtis reticulata,perennial,shrub,N
CERARV,Cerastium arvense,perennial,forb,N
CERMON,Cercocarpus montanus,perennial,shrub,N
CHAANG,Chamerion angustifolium,perennial,forb,N
CHEHYB,Chenopodiastrum hybridium,annual,forb,I
CHEALB,Chenopodium album,annual,forb,I
CHEFRE,Chenopodium fremontii,annual,forb,N
CHEINC,Chenopodium incanum,annual,forb,N
CIRALP,Circaea alpina,perennial,forb,N
CIRARV,Cirsium arvense,perennial,forb,I
CIRUND,Cirsium undulatum,perennial,forb,N
CLAPER,Claytonia perfoliata,annual,forb,N
CLARUB,Claytonia rubra,annual,forb,N
COLPAR,Collinsia parviflora ,annual,forb,N
COLLIN,Collomia linearis,annual,forb,N
COMUMB,Comandra umbellata,perennial,forb,N
CONARV,Convolvulus arvensis,perennial,forb,I
CORAUR,Corydalis aurea,annual,forb,N
CREOCC,Crepis occidentalis,annual,forb,N
CYNOFF,Cynoglossum officinale,perennial,forb,I
CYSFRA,Cystopteris fragilis,perennial,forb,N
DALPUR,Dalea purpurea,perennial,forb,N
DELCAR,Delphinium carolinianum,perennial,forb,N
DELNUT,Delphinium nuttallianum,perennial,forb,N
DESPIN,Descurainia pinnata,annual,forb,N
DESSOP,Descurainia sophia,annual,forb,I
DRAPAR,Dracocephalum parviflorum,annual,forb,N
DRYFIS,Drymocallis fissa,perennial,forb,N
DRYFIL,Dryopteris filix-mas,perennial,forb,N
ECHVIR,Echinocereus viridiflorus,perennial,shrub,N
ELLNYC,Ellisia nyctelea,annual,forb,N
ELYELY,Elymus elymoides,perennial,gram,N
ELYSMI,Elymus smithii,perennial,gram,N
ELYTRA,Elymus trachycaulus,perennial,gram,N
ERINAU,Ericameria nauseosa,perennial,shrub,N
ERIFLA,Erigeron flagellaris,perennial,forb,N
ERIMOD,Erigeron modestus,perennial,forb,N
ERISPE,Erigeron speciosus,perennial,forb,N
ERIALA,Eriogonum alatum,perennial,forb,N
ERIEFF,Eriogonum effusum,perennial,forb,N
ERIUMB,Eriogonum umbellatum,perennial,forb,N
EROCAE,geranium caespitosum,perennial,forb,N
EROCIC,Erodium cicutarium,annual,forb,I
ERYCAP,Erysimum capitatum,perennial,forb,N
ESCMIS,Escobaria missouriensis,perennial,shrub,N
EUPDAV,Euphorbia davidii,annual,forb,I
EUPESU,Euphorbia esula,perennial,forb,I
EUPFEN,Euphorbia fendleri,perennial,forb,N
EUPHORBIA SP.,Euphorbia sp.,NA,forb,NA
EVONUT,Evolvulus nuttallianus,perennial,forb,N
FALCON,Fallopia convolvulus,annual,forb,I
GAIARI,Gaillardia aristata,perennial,forb,N
GALAPA,Galium aparine,annual,forb,N
GALBOR,Galium boreale,perennial,forb,N
GALTRI,Galium triflorum,perennial,forb,N
GAYDIF,Gayophytum diffusum,annual,forb,N
GENAMA,Gentianella amarella,annual,forb,N
GERBIC,Geranium bicknellii,annual,forb,N
GERCAE,Geranium caespitosum,perennial,forb,N
GERRIC,Geranium richardsonii,perennial,forb,N
GILCLO,Gilia clokeyi,annual,forb,N
GRISUB,Grindelia subalpina,perennial,forb,N
GUTSAR,Gutierrezia sarothrae,perennial,shrub,N
HARTRA,Harbouria trachypleura,perennial,forb,N
HELANN,Helianthus annuus,annual,forb,N
HELPUM,Helianthus pumilus,perennial,forb,N
HEMMIN,Hemizonella minima,annual,forb,N
HESCOM,Hesperostipa comata,perennial,gram,N
HETVIL,Heterotheca villosa,perennial,forb,N
HEUPAR,Heuchera parviflora,perennial,forb,N
HORJUB,Hordeum jubatum,perennial,gram,N
HYDFEN,Hydrophyllum fendleri,perennial,forb,N
HYPPER,Hypericum perforatum,perennial,forb,I
JUNCOM,Juniperus communis,perennial,shrub,N
JUNOCC,Juniperus occidentalis,perennial,tree,N
JUNSCO,Juniperus scopulorum,perennial,tree,N
KOEMAC,Koeleria macrantha,perennial,gram,N
LACSER,Lactuca serriola,annual,forb,I
LAPOCC,Lappula occidentalis,annual,forb,N
LATLAN,Lathyrus lanszwertii,perennial,forb,N
LEPPER,Lepidium perfoliatum,annual,forb,I
LIAPUN,Liatris punctata,perennial,forb,N
LIGPOR,Ligusticum porteri,perennial,forb,N
LINDAL,Linaria dalmatica,perennial,forb,I
LINLEW,Linum lewisii,perennial,forb,N
LINPRA,Linum pratense,annual,forb,N
LITMUL,Lithospermum multiflorum,perennial,forb,N
LOMORI,Lomatium orientale,perennial,forb,N
LUPARG,Lupinus argenteus,perennial,forb,N
LUPPUS,Lupinus pusillus,annual,forb,N
MAHREP,Mahonia repens,perennial,forb,N
MAIRAC,Maianthemum racemosum,perennial,forb,N
MAISTE,Maianthemum stellatum,perennial,forb,N
MALNEG,Malva neglecta,annual,forb,I
MARVUL,Marrubium vulgare,perennial,forb,I
MEDLUP,Medicago lupulina,annual,forb,I
MERCIL,Mertensia ciliata ,perennial,forb,N
MERLAN,Mertensia lanceolata,perennial,forb,N
MIRLIN,Mirabilis linearis,perennial,forb,N
MIRNYC,Mirabilis nyctaginea,perennial,forb,N
MONPEC,Monarda pectinata,annual,forb,N
MONFIS,Monarde fistulosa,perennial,forb,N
NEPCAT,Nepeta cataria,perennial,forb,I
NOTCUS,Nothocalais cuspidata,perennial,forb,N
NUTTEX,Nuttallanthus texanus,annual,forb,N
OENALB,Oenothera albicaulis,annual,forb,N
OENHOW,Oenothera howardii,perennial,forb,N
OENSUF,Oenothera suffrutescens,perennial,forb,N
OPUMAC,Opuntia macrorhiza,perennial,shrub,N
OPUPOL,Opuntia polyacantha,perennial,shrub,N
OREVIR,Oreocarya virgata,perennial,forb,N
ORYASP,Oryzopsis asperifolia,perennial,gram,N
OSMDEP,Osmorhiza depauperata,perennial,forb,N
OXADIL,Oxalis dillenii,perennial,forb,N
OXYSER,Oxytropis sericea,perennial,forb,N
PACFEN,Packera fendleri,perennial,forb,N
PACPLA,Packera plattensis,perennial,forb,N
PARPEN,Parietaria pensylvanica,annual,forb,N
PEDTEN,Pediomelum tenuiflorum,perennial,forb,N
PENSEC,Penstemon secundiflorus,perennial,forb,N
PENVIR,Penstemon virens,perennial,forb,N
PHAHAS,Phacelia hastata,perennial,forb,N
PHAHET,Phacelia heterophylla,perennial,forb,N
PHECON,Phemeranthus confertiflorus,perennial,forb,N
PHYHED,Physalis hederifolia,perennial,forb,N
PHYMON,Physaria montana,perennial,forb,N
PHYMON2,Physocarpus monogynus,perennial,shrub,N
PINPON,Pinus ponderosa,perennial,tree,N
PLAPAT,Plantago patagonica,annual,forb,N
POAALP,Poa alpina,perennial,gram,N
POACOM,Poa compressa,perennial,gram,I
POACUS,Poa cusickii,perennial,gram,N
POAPRA,Poa pratense,perennial,gram,I
POLAVI,Polygonum Aviculare,perennial,forb,I
POLDOU,Polygonum douglasii ,annual,forb,N
POMVER,Pombalia verticillata,perennial,forb,N
PRUVIR,Prunus virginiana,perennial,shrub,N
PSEJAM,Pseudostellaria jamesiana,perennial,forb,N
PSEMEN,Pseudotsuga menziesii,perennial,tree,N
QUEGAM,Quercus gambelii,perennial,shrub,N
QUILOB,Quincula lobata,perennial,forb,N
RATCOL,Ratibida columnifera,perennial,forb,N
RHUTRI,Rhus trilobata,perennial,shrub,N
RIBAUR,Ribes aureum,perennial,shrub,N
RIBCER,Ribes cereum,perennial,shrub,N
RIBINE,Ribes inermi,perennial,shrub,N
ROSARK,Rosa arkansana,perennial,shrub,N
ROSWOO,Rosa woodsii,perennial,shrub,N
RUMCRI,Rumex crispus,perennial,forb,I
SCOLAC,Scorzonera laciniata,perennial,forb,I
SCRLAN,Scrophularia lanceolata,perennial,forb,N
SCUBRI,Scutellaria brittonii,perennial,forb,N
SEDLAN,Sedum lanceolatum,perennial,forb,N
SENARO,Senecio aronicoides,perennial,forb,N
SENINT,Senecio integerrimus,perennial,forb,N
