FID,TimeZoneLo,DoorNum,DoorAction,AC_Type,PossFalseP,PossSplitD,TimeSinceP,GangedDrop,NEAR_FID,NEAR_DIST,Fire_Name,SDI90_mean,SDI97_mean,Slope_mean,PCL_mean,Elevation_,FM_majorit,dataCtrTim,Volume,CoverageLv,Suppressan,TimeSinc_1,LineLenMi,GlobalID,Year,Altitude,Speed,Heading,GalInTank,GalDropped,TotalDropT,TimeSinc_2,DateTimeLo,DateTimeUT,TimeLocalI,GACCName,GACCAbbrev,UpdateDate,Shape_Leng
0,America/Denver,Door 1,Opened,VLAT, , ,51996,No,3665,0.000000000000000,Quarry,114.0000000,118.0000000,25.0000000,11.0000000,2071.0000000,165.0000000, ,0.000000000000000,0, ,0,0.773901348538000,{04D99F24-E251-414D-8A98-8CB80C33403E},2024,7369,179,338,2609,2609.000000000000000,8,0,2024-07-31T10:42:47.000Z,2024-07-31T16:42:47.000Z,104247,Rocky Mountain Area Coordination Center,RMCC,5/20/2025 0:00:00,600.305533361000016
1,America/Denver,Door 2,Opened,VLAT, , ,-6,No,3665,0.000000000000000,Quarry,103.0000000,107.0000000,23.0000000,10.0000000,2020.0000000,165.0000000, ,0.000000000000000,0, ,0,0.773901348538000,{F6B5A671-73FE-4787-AC47-FCA3B800F6E5},2024,7310,177,338,3859,3859.000000000000000,10,0,2024-07-31T10:42:49.000Z,2024-07-31T16:42:49.000Z,104249,Rocky Mountain Area Coordination Center,RMCC,5/20/2025 0:00:00,748.500035626999988
2,America/Denver,Door 3,Opened,VLAT, , ,-6,No,3665,0.000000000000000,Quarry,83.0000000,88.0000000,20.0000000,12.0000000,1964.0000000,165.0000000, ,0.000000000000000,0, ,0,0.773901348538000,{6E3CA6B0-43BE-4FEA-ACD9-EBAF896FFDCF},2024,7244,177,335,2638,2638.000000000000000,8,0,2024-07-31T10:42:53.000Z,2024-07-31T16:42:53.000Z,104253,Rocky Mountain Area Coordination Center,RMCC,5/20/2025 0:00:00,600.275648434000004
3,America/Denver,Door 1,Opened,VLAT, , ,3872,No,3665,0.000000000000000,Quarry,98.0000000,101.0000000,21.0000000,9.0000000,2188.0000000,165.0000000, ,0.000000000000000,0, ,0,0.656661560089000,{73CD4FB4-5A68-4BAE-895C-3E53ED19AF16},2024,7671,173,39,2737,2737.000000000000000,7,0,2024-07-31T11:47:33.000Z,2024-07-31T17:47:33.000Z,114733,Rocky Mountain Area Coordination Center,RMCC,5/20/2025 0:00:00,604.773905244000048
4,America/Denver,Door 2,Opened,VLAT, , ,-5,No,3665,0.000000000000000,Quarry,111.0000000,113.0000000,24.0000000,9.0000000,2106.0000000,165.0000000, ,0.000000000000000,0, ,0,0.656661560089000,{DB2A6E5E-DD29-4DB1-B209-EA3F9CC81E46},2024,7562,175,40,3873,3873.000000000000000,8,0,2024-07-31T11:47:35.000Z,2024-07-31T17:47:35.000Z,114735,Rocky Mountain Area Coordination Center,RMCC,5/20/2025 0:00:00,744.878907183000024
5,America/Denver,Door 3,Opened,VLAT, , ,-5,No,3665,0.000000000000000,Quarry,108.0000000,111.0000000,23.0000000,9.0000000,2039.0000000,165.0000000, ,0.000000000000000,0, ,0,0.656661560089000,{A8177068-6181-4205-A72C-278EF8798769},2024,7431,177,41,2647,2647.000000000000000,6,0,2024-07-31T11:47:38.000Z,2024-07-31T17:47:38.000Z,114738,Rocky Mountain Area Coordination Center,RMCC,5/20/2025 0:00:00,601.352275451999958
6,America/Denver,Door 1,Opened,VLAT, , ,4085,No,3665,0.000000000000000,Quarry,81.0000000,85.0000000,22.0000000,9.0000000,2205.0000000,165.0000000, ,0.000000000000000,0, ,0,0.638129298552000,{62173F79-F6CD-4A18-9C8A-55B10C14E94B},2024,7858,173,111,2771,2771.000000000000000,8,0,2024-07-31T12:55:49.000Z,2024-07-31T18:55:49.000Z,125549,Rocky Mountain Area Coordination Center,RMCC,5/20/2025 0:00:00,608.799259130999985
7,America/Denver,Door 2,Opened,VLAT, , ,-6,No,3665,0.000000000000000,Quarry,72.0000000,76.0000000,18.0000000,9.0000000,2197.0000000,165.0000000, ,0.000000000000000,0, ,0,0.638129298552000,{A435AC7E-C519-4AD4-B1E6-F8AC238D0884},2024,7802,171,110,3865,3865.000000000000000,9,0,2024-07-31T12:55:51.000Z,2024-07-31T18:55:51.000Z,125551,Rocky Mountain Area Coordination Center,RMCC,5/20/2025 0:00:00,733.309845879000022
8,America/Denver,Door 3,Opened,VLAT, , ,-6,No,3665,0.000000000000000,Quarry,69.0000000,73.0000000,17.0000000,9.0000000,2183.0000000,165.0000000, ,0.000000000000000,0, ,0,0.638129298552000,{83A7DEE5-9AF6-4C74-BAD9-11D0E8E35BC9},2024,7740,171,108,2602,2602.000000000000000,7,0,2024-07-31T12:55:54.000Z,2024-07-31T18:55:54.000Z,125554,Rocky Mountain Area Coordination Center,RMCC,5/20/2025 0:00:00,585.180974857000024
9,America/Denver,Door 2,Opened,VLAT, , ,-6,No,3665,0.000000000000000,Quarry,73.0000000,78.0000000,18.0000000,10.0000000,2134.0000000,102.0000000, ,0.000000000000000,0, ,0,0.641275856544000,{8678AA02-1900-4679-9E36-A261DBD68229},2024,7477,171,61,3905,3905.000000000000000,4,0,2024-07-31T15:40:23.000Z,2024-07-31T21:40:23.000Z,154023,Rocky Mountain Area Coordination Center,RMCC,5/20/2025 0:00:00,634.895076241999959
