FID,TimeZoneLo,DoorNum,DoorAction,AC_Type,PossFalseP,PossSplitD,TimeSinceP,GangedDrop,NEAR_FID,NEAR_DIST,Fire_Name,SDI90_mean,SDI97_mean,Slope_mean,PCL_mean,Elevation_,FM_majorit,dataCtrTim,Volume,CoverageLv,Suppressan,TimeSinc_1,LineLenMi,GlobalID,Year,Altitude,Speed,Heading,GalInTank,GalDropped,TotalDropT,TimeSinc_2,DateTimeLo,DateTimeUT,TimeLocalI,GACCName,GACCAbbrev,UpdateDate,Shape_Leng
0,America/Denver,Door 1,Opened,VLAT, , ,82535,No,3542,0.000000000000000,Stone Mtn,28.0000000,34.0000000,13.0000000,13.0000000,1882.0000000,122.0000000, ,0.000000000000000,0, ,0,0.383342408451000,{C4FF4787-B623-487A-98C5-B96DCBE608EA},2024,6591,181,142,2722,2080.000000000000000,3,0,2024-07-30T18:49:32.000Z,2024-07-31T00:49:32.000Z,184932,Rocky Mountain Area Coordination Center,RMCC,12/19/2024 0:00:00,538.210114498000053
1,America/Denver,Door 2,Opened,VLAT, , ,-1,No,3542,0.000000000000000,Stone Mtn,24.0000000,28.0000000,13.0000000,20.0000000,1857.0000000,122.0000000, ,0.000000000000000,0, ,0,0.383342408451000,{660D0CB3-DB8A-4C95-BF7A-BDF488580245},2024,6447,185,141,3853,414.000000000000000,1,0,2024-07-30T18:49:34.000Z,2024-07-31T00:49:34.000Z,184934,Rocky Mountain Area Coordination Center,RMCC,12/19/2024 0:00:00,332.465278099999978
2,America/Denver,Door 2,Opened,VLAT, ,Yes,155,No,3542,12.006613646900000,Stone Mtn,28.0000000,30.0000000,13.0000000,23.0000000,1832.0000000,102.0000000, ,0.000000000000000,0, ,0,0.613914208341000,{AC9A230F-ACA2-48A3-A288-72963E2FD7B2},2024,6348,181,149,3467,3467.000000000000000,9,0,2024-07-30T18:52:10.000Z,2024-07-31T00:52:10.000Z,185210,Rocky Mountain Area Coordination Center,RMCC,12/19/2024 0:00:00,710.371037713999954
3,America/Denver,Door 3,Opened,VLAT, ,Yes,-6,No,3542,0.000000000000000,Stone Mtn,28.0000000,29.0000000,13.0000000,20.0000000,1782.0000000,122.0000000, ,0.000000000000000,0, ,0,0.613914208341000,{A59422B3-F27B-46D9-ADF1-AA2E33B80250},2024,6158,185,144,2597,2597.000000000000000,8,0,2024-07-30T18:52:13.000Z,2024-07-31T00:52:13.000Z,185213,Rocky Mountain Area Coordination Center,RMCC,12/19/2024 0:00:00,609.500608372999977
4,America/Denver,Door 1,Opened,VLAT, , ,5013,No,3542,0.000000000000000,Stone Mtn,22.0000000,23.0000000,11.0000000,19.0000000,1762.0000000,122.0000000, ,0.000000000000000,0, ,0,0.831411839471000,{2AC6AE2B-527F-49BA-B57C-D7F361D7228D},2024,6207,177,139,2771,2771.000000000000000,9,0,2024-07-30T20:15:54.000Z,2024-07-31T02:15:54.000Z,201554,Rocky Mountain Area Coordination Center,RMCC,12/19/2024 0:00:00,616.074152712999989
5,America/Denver,Door 2,Opened,VLAT, , ,-5,No,3542,0.000000000000000,Stone Mtn,18.0000000,19.0000000,8.0000000,19.0000000,1709.0000000,122.0000000, ,0.000000000000000,0, ,0,0.831411839471000,{F4F6A14C-7183-4675-AEFB-9BBBADF7C857},2024,6053,179,142,3825,3825.000000000000000,10,0,2024-07-30T20:15:58.000Z,2024-07-31T02:15:58.000Z,201558,Rocky Mountain Area Coordination Center,RMCC,12/19/2024 0:00:00,748.906231481999953
6,America/Denver,Door 3,Opened,VLAT, , ,-6,No,3542,0.000000000000000,Stone Mtn,12.0000000,14.0000000,5.0000000,20.0000000,1688.0000000,122.0000000, ,0.000000000000000,0, ,0,0.831411839471000,{D58B8DD3-EAE0-48D4-BA89-5D6992D1EC4A},2024,5961,175,153,2654,2654.000000000000000,9,0,2024-07-30T20:16:02.000Z,2024-07-31T02:16:02.000Z,201602,Rocky Mountain Area Coordination Center,RMCC,12/19/2024 0:00:00,597.687615872000038
7,America/Denver, ,start,LAT,No,No, , ,3542,0.000000000000000,Stone Mtn,42.0000000,45.0000000,15.0000000,22.0000000,1894.0000000,122.0000000,2024-07-30T19:57:49.763Z,0.000000000000000,0, ,3010,0.314798446299000,{D6096C63-B4CD-4B86-86CA-66EADFE5B457},2024,6548,161,26,0,0.000000000000000,6,0,2024-07-30T13:56:32.000Z,2024-07-30T19:56:32.000Z,135632,Rocky Mountain Area Coordination Center,RMCC,12/19/2024 0:00:00,609.137237916999993
8,America/Denver, ,start,LAT,No,No, , ,3542,0.000000000000000,Stone Mtn,30.0000000,35.0000000,12.0000000,18.0000000,1924.0000000,122.0000000,2024-07-30T20:40:48.313Z,0.000000000000000,0, ,2625,0.270964450703000,{C388BDEB-B01D-40AD-8FA1-0967F4DA7E39},2024,6541,142,356,0,0.000000000000000,6,0,2024-07-30T14:40:23.000Z,2024-07-30T20:40:23.000Z,144023,Rocky Mountain Area Coordination Center,RMCC,12/19/2024 0:00:00,539.940412998000056
9,America/Denver, ,start,LAT,No,No, , ,3542,0.000000000000000,Stone Mtn,51.0000000,56.0000000,18.0000000,14.0000000,1923.0000000,122.0000000,2024-07-30T21:27:18.917Z,0.000000000000000,0, ,2772,0.270095594188000,{AC4F39BA-647E-47B0-9FD2-AB6543905064},2024,6807,165,43,0,0.000000000000000,5,0,2024-07-30T15:26:41.000Z,2024-07-30T21:26:41.000Z,152641,Rocky Mountain Area Coordination Center,RMCC,12/19/2024 0:00:00,535.521334897999964
