plot,site,sev,trt
HC01,quarry,high,con
HC02,quarry,high,con
HC03,quarry,high,con
HC04,quarry,high,con
HC05,quarry,high,con
HC06,quarry,high,con
HC07,quarry,high,con
HFR01,quarry,high,fr
HFR02,quarry,high,fr
HFR03,quarry,high,fr
HFR04,quarry,high,fr
HFR05,quarry,high,fr
HFR06,quarry,high,fr
HFR07,quarry,high,fr
LC01,quarry,low,con
LC02,quarry,low,con
LC03,quarry,low,con
LC04,quarry,low,con
LC05,quarry,low,con
LC06,quarry,low,con
LC07,quarry,low,con
LFR01,quarry,low,fr
LFR02,quarry,low,fr
LFR03,quarry,low,fr
LFR04,quarry,low,fr
LFR05,quarry,low,fr
LFR06,quarry,low,fr
LFR07,quarry,low,fr
MC01,quarry,mod,con
MC02,quarry,mod,con
MC03,quarry,mod,con
MC04,quarry,mod,con
MC05,quarry,mod,con
MC06,quarry,mod,con
MC07,quarry,mod,con
MFR01,quarry,mod,fr
MFR02,quarry,mod,fr
MFR03,quarry,mod,fr
MFR04,quarry,mod,fr
MFR05,quarry,mod,fr
MFR06,quarry,mod,fr
MFR07,quarry,mod,fr
SC_BURN_01,sc,low,con
SC_BURN_02,sc,low,con
SC_BURN_03,sc,low,con
SC_BURN_04,sc,low,con
SC_BURN_05,sc,low,con
SC_BURN_06,sc,low,con
SC_BURN_07,sc,low,con
SC_BURN_08,sc,low,con
SC_BURN_09,sc,low,con
SC_BURN_10,sc,low,con
SC_BURN_11,sc,low,con
SC_BURN_12,sc,low,con
SC_BURN_13,sc,low,con
SC_BURN_14,sc,low,con
SC_BURN_15,sc,low,con
SC_BURN_16,sc,low,con
SC_BURN_17,sc,low,con
SC_BURN_18,sc,low,con
SC_CON_01,sc,unburn,con
SC_CON_02,sc,unburn,con
SC_CON_03,sc,unburn,con
SC_CON_04,sc,unburn,con
SC_CON_05,sc,unburn,con
SC_CON_06,sc,unburn,con
SC_CON_07,sc,unburn,con
SC_CON_08,sc,unburn,con
SC_CON_09,sc,unburn,con
SC_CON_10,sc,unburn,con
SC_CON_11,sc,unburn,con
SC_CON_12,sc,unburn,con
SC_CON_13,sc,unburn,con
SC_CON_14,sc,unburn,con
SC_CON_15,sc,unburn,con
SC_CON_16,sc,unburn,con
SC_CON_17,sc,unburn,con
SC_CON_18,sc,unburn,con
SC_FRL1_01,sc,low,fr
SC_FRL1_02,sc,low,fr
SC_FRL1_03,sc,low,fr
SC_FRL2_01,sc,low,fr
SC_FRL2_02,sc,low,fr
SC_FRL2_03,sc,low,fr
SC_FRL3_01,sc,low,fr
SC_FRL3_02,sc,low,fr
SC_FRL3_03,sc,low,fr
SC_FRL4_01,sc,low,fr
SC_FRL4_02,sc,low,fr
SC_FRL4_03,sc,low,fr
SC_FRL5_01,sc,low,fr
SC_FRL5_02,sc,low,fr
SC_FRL5_03,sc,low,fr
SC_FRL6_01,sc,low,fr
SC_FRL6_02,sc,low,fr
SC_FRL6_03,sc,low,fr
UC01,quarry,unburn,con
UC02,quarry,unburn,con
UC03,quarry,unburn,con
UC04,quarry,unburn,con
UC05,quarry,unburn,con
UC06,quarry,unburn,con
UC07,quarry,unburn,con
UFR01,quarry,unburn,fr
UFR02,quarry,unburn,fr
UFR03,quarry,unburn,fr
UFR04,quarry,unburn,fr
UFR05,quarry,unburn,fr
UFR06,quarry,unburn,fr
UFR07,quarry,unburn,fr
