site,species,prop,mean,duration,functional.group,status
quarry,Quercus gambelii,0.91,8.1,perennial,shrub,N
quarry,Quercus gambelii,0.91,8.1,perennial,shrub,N
quarry,Quercus gambelii,0.91,8.1,perennial,shrub,N
quarry,Quercus gambelii,0.91,8.1,perennial,shrub,N
quarry,Quercus gambelii,0.91,8.1,perennial,shrub,N
quarry,Quercus gambelii,0.91,8.1,perennial,shrub,N
quarry,Quercus gambelii,0.91,8.1,perennial,shrub,N
quarry,Carex sp.,0.89,7.1,NA,gram,NA
quarry,Carex sp.,0.89,7.1,NA,gram,NA
quarry,Carex sp.,0.89,7.1,NA,gram,NA
sc,Hesperostipa comata,0.87,2.2,perennial,gram,N
sc,Hesperostipa comata,0.87,2.2,perennial,gram,N
sc,Hesperostipa comata,0.87,2.2,perennial,gram,N
sc,Hesperostipa comata,0.87,2.2,perennial,gram,N
sc,Hesperostipa comata,0.87,2.2,perennial,gram,N
sc,Hesperostipa comata,0.87,2.2,perennial,gram,N
sc,Hesperostipa comata,0.87,2.2,perennial,gram,N
sc,Hesperostipa comata,0.87,2.2,perennial,gram,N
sc,Hesperostipa comata,0.87,2.2,perennial,gram,N
sc,Hesperostipa comata,0.87,2.2,perennial,gram,N
