site,Burn.Severity,nutrient,control,treated,adifference,pchange
quarry,unburned,K,0.643 ± 0.231,0.716 ± 0.240,0.072,11
quarry,low,K,0.883 ± 0.252,0.624 ± 0.109,-0.259,-29
quarry,moderate,K,0.845 ± 0.161,0.743 ± 0.159,-0.102,-12
quarry,high,K,0.655 ± 0.165,0.608 ± 0.154,-0.047,-7
quarry,unburned,NH4,0.012 ± 0.010,0.003 ± 0.001,-0.008,-71
quarry,low,NH4,0.005 ± 0.003,0.031 ± 0.005,0.026,520
quarry,moderate,NH4,0.150 ± 0.058,0.089 ± 0.055,-0.061,-41
quarry,high,NH4,0.144 ± 0.048,0.031 ± 0.014,-0.112,-78
quarry,unburned,NO3,0.752 ± 0.229,1.835 ± 0.521,1.083,144
quarry,low,NO3,0.193 ± 0.125,2.152 ± 0.565,1.958,1013
quarry,moderate,NO3,0.906 ± 0.187,0.988 ± 0.301,0.081,9
quarry,high,NO3,0.536 ± 0.217,1.291 ± 0.344,0.755,141
quarry,unburned,Na,0.032 ± 0.008,0.031 ± 0.018,-0.001,-4
quarry,low,Na,0.039 ± 0.014,0.028 ± 0.010,-0.011,-28
quarry,moderate,Na,0.027 ± 0.013,0.024 ± 0.010,-0.004,-13
quarry,high,Na,0.026 ± 0.005,0.026 ± 0.009,-0.000,-1
quarry,unburned,PO4,0.083 ± 0.032,0.953 ± 0.414,0.870,1050
quarry,low,PO4,0.097 ± 0.036,0.310 ± 0.061,0.212,219
quarry,moderate,PO4,0.079 ± 0.043,0.624 ± 0.259,0.545,693
quarry,high,PO4,0.089 ± 0.044,0.221 ± 0.101,0.131,147
quarry,unburned,SO4,0.317 ± 0.075,0.114 ± 0.037,-0.202,-64
quarry,low,SO4,0.215 ± 0.044,0.607 ± 0.160,0.392,182
quarry,moderate,SO4,0.362 ± 0.141,0.300 ± 0.071,-0.062,-17
quarry,high,SO4,0.570 ± 0.160,0.433 ± 0.083,-0.138,-24
quarry,unburned,pH,6.33 ± 0.21,6.46 ± 0.25,0.124,2
quarry,low,pH,7.00 ± 0.13,7.57 ± 0.29,0.567,8
quarry,moderate,pH,7.36 ± 0.22,7.45 ± 0.14,0.092,1
quarry,high,pH,7.53 ± 0.18,7.50 ± 0.15,-0.026,-0
sc,unburned,K,0.619 ± 0.150,NA,NA,NA
sc,low,K,0.742 ± 0.179,0.766 ± 0.252,0.024,3
sc,unburned,NH4,0.018 ± 0.010,NA,NA,NA
sc,low,NH4,0.005 ± 0.005,0.021 ± 0.020,0.016,290
sc,unburned,NO3,1.795 ± 0.782,NA,NA,NA
sc,low,NO3,1.893 ± 1.054,3.373 ± 1.769,1.480,78
sc,unburned,Na,0.034 ± 0.025,NA,NA,NA
sc,low,Na,0.021 ± 0.009,0.018 ± 0.008,-0.002,-12
sc,unburned,PO4,0.065 ± 0.038,NA,NA,NA
sc,low,PO4,0.089 ± 0.051,1.340 ± 1.130,1.251,1410
sc,unburned,SO4,0.096 ± 0.040,NA,NA,NA
sc,low,SO4,0.156 ± 0.084,0.462 ± 0.365,0.306,197
sc,unburned,pH,6.75 ± 0.25,NA,NA,NA
sc,low,pH,7.23 ± 0.35,7.31 ± 0.59,0.080,1
