"response","Burn.Severity","Control","Treated","adif","pchange","site"
"NH4","unburned","0.000 ± 0.014","0.017 ± 0.014","0.017",NA,"Quarry"
"NH4","low","0.050 ± 0.009","0.030 ± 0.009","-0.020","-40","Quarry"
"NH4","moderate","0.105 ± 0.009","0.044 ± 0.009","-0.061","-58","Quarry"
"NH4","high","0.159 ± 0.014","0.058 ± 0.014","-0.101","-64","Quarry"
"NO3","unburned","0.587 ± 0.143","1.992 ± 0.143","1.405","239","Quarry"
"NO3","low","0.594 ± 0.094","1.719 ± 0.095","1.126","190","Quarry"
"NO3","moderate","0.600 ± 0.094","1.446 ± 0.096","0.846","141","Quarry"
"NO3","high","0.607 ± 0.143","1.173 ± 0.146","0.566","93","Quarry"
"PO4","unburned","0.087 ± 0.070","0.806 ± 0.071","0.719","828","Quarry"
"PO4","low","0.087 ± 0.046","0.615 ± 0.047","0.528","607","Quarry"
"PO4","moderate","0.087 ± 0.046","0.424 ± 0.047","0.337","387","Quarry"
"PO4","high","0.087 ± 0.070","0.233 ± 0.072","0.146","167","Quarry"
"pH","unburned","6.463 ± 0.099","6.791 ± 0.099","0.327","5","Quarry"
"pH","low","6.857 ± 0.065","7.091 ± 0.066","0.234","3","Quarry"
"pH","moderate","7.251 ± 0.065","7.392 ± 0.066","0.141","2","Quarry"
"pH","high","7.645 ± 0.099","7.692 ± 0.101","0.047","1","Quarry"
"Na","unburned","0.036 ± 0.004","0.030 ± 0.004","-0.006","-16","Quarry"
"Na","low","0.033 ± 0.002","0.028 ± 0.002","-0.005","-14","Quarry"
"Na","moderate","0.030 ± 0.002","0.026 ± 0.002","-0.003","-12","Quarry"
"Na","high","0.026 ± 0.004","0.024 ± 0.004","-0.002","-9","Quarry"
"K","unburned","0.757 ± 0.064","0.702 ± 0.064","-0.055","-7","Quarry"
"K","low","0.757 ± 0.042","0.681 ± 0.042","-0.076","-10","Quarry"
"K","moderate","0.757 ± 0.042","0.659 ± 0.043","-0.097","-13","Quarry"
"K","high","0.756 ± 0.064","0.638 ± 0.065","-0.119","-16","Quarry"
"SO4","unburned","0.230 ± 0.054","0.268 ± 0.054","0.038","16","Quarry"
"SO4","low","0.321 ± 0.035","0.334 ± 0.036","0.013","4","Quarry"
"SO4","moderate","0.412 ± 0.035","0.400 ± 0.036","-0.011","-3","Quarry"
"SO4","high","0.502 ± 0.054","0.467 ± 0.055","-0.036","-7","Quarry"
"NH4","unburned","0.018 ± 0.003","0.033 ± 0.005","0.016","89","Stone Canyon"
"NH4","low","0.005 ± 0.003","0.021 ± 0.003","0.016","290","Stone Canyon"
"NO3","unburned","1.795 ± 0.310","3.275 ± 0.528","1.480","82","Stone Canyon"
"NO3","low","1.893 ± 0.302","3.373 ± 0.302","1.480","78","Stone Canyon"
"PO4","unburned","0.065 ± 0.160","1.316 ± 0.272","1.251","1931","Stone Canyon"
"PO4","low","0.089 ± 0.156","1.340 ± 0.156","1.251","1410","Stone Canyon"
"pH","unburned","6.753 ± 0.103","6.833 ± 0.175","0.080","1","Stone Canyon"
"pH","low","7.227 ± 0.100","7.307 ± 0.100","0.080","1","Stone Canyon"
"Na","unburned","0.034 ± 0.004","0.032 ± 0.007","-0.002","-7","Stone Canyon"
"Na","low","0.021 ± 0.004","0.018 ± 0.004","-0.002","-12","Stone Canyon"
"K","unburned","0.619 ± 0.048","0.643 ± 0.082","0.024","4","Stone Canyon"
"K","low","0.742 ± 0.047","0.766 ± 0.047","0.024","3","Stone Canyon"
"SO4","unburned","0.096 ± 0.053","0.403 ± 0.090","0.306","318","Stone Canyon"
"SO4","low","0.156 ± 0.052","0.462 ± 0.052","0.306","197","Stone Canyon"
