"response","Burn.Severity","Control","Treated","adif","pchange","site"
"total cover","unburned","57.99 ± 8.35","37.60 ± 15.50","-20.38","-35","Quarry"
"total cover","low","53.92 ± 7.82","33.54 ± 10.98","-20.38","-38","Quarry"
"total cover","moderate","49.85 ± 10.78","29.47 ± 8.03","-20.38","-41","Quarry"
"total cover","high","45.78 ± 15.33","25.40 ± 8.51","-20.38","-45","Quarry"
"prop. non-native cover","unburned","0.03 ± 0.07","0.28 ± 0.13","0.25","804","Quarry"
"prop. non-native cover","low","0.06 ± 0.07","0.31 ± 0.09","0.25","420","Quarry"
"prop. non-native cover","moderate","0.09 ± 0.09","0.34 ± 0.07","0.25","285","Quarry"
"prop. non-native cover","high","0.12 ± 0.13","0.36 ± 0.07","0.25","215","Quarry"
"prop. annual cover","unburned","0.06 ± 0.07","0.37 ± 0.14","0.31","495","Quarry"
"prop. annual cover","low","0.16 ± 0.07","0.47 ± 0.10","0.31","192","Quarry"
"prop. annual cover","moderate","0.26 ± 0.09","0.57 ± 0.07","0.31","119","Quarry"
"prop. annual cover","high","0.36 ± 0.13","0.67 ± 0.07","0.31","86","Quarry"
"species richnes","unburned","22.28 ± NA","27.38 ± NA","5.10","23","Quarry"
"species richnes","low","19.49 ± NA","23.95 ± NA","4.46","23","Quarry"
"species richnes","moderate","17.05 ± NA","20.96 ± NA","3.90","23","Quarry"
"species richnes","high","14.92 ± NA","18.34 ± NA","3.42","23","Quarry"
"prop. non-native richness","unburned","0.16 ± 0.02","0.18 ± 0.05","0.03","16","Quarry"
"prop. non-native richness","low","0.19 ± 0.02","0.21 ± 0.03","0.03","14","Quarry"
"prop. non-native richness","moderate","0.22 ± 0.03","0.24 ± 0.02","0.03","12","Quarry"
"prop. non-native richness","high","0.25 ± 0.05","0.27 ± 0.03","0.03","10","Quarry"
"prop. annual richness","unburned","0.19 ± 0.03","0.23 ± 0.06","0.04","18","Quarry"
"prop. annual richness","low","0.27 ± 0.03","0.30 ± 0.04","0.04","13","Quarry"
"prop. annual richness","moderate","0.35 ± 0.04","0.38 ± 0.03","0.04","10","Quarry"
"prop. annual richness","high","0.42 ± 0.06","0.46 ± 0.03","0.04","8","Quarry"
"total cover","unburned","47.95 ± 6.26","72.79 ± 11.48","24.84","52","Stone Canyon"
"total cover","low","32.94 ± 6.40","57.78 ± 6.59","24.84","75","Stone Canyon"
"prop. non-native cover","unburned","0.37 ± 0.07","0.49 ± 0.14","0.12","33","Stone Canyon"
"prop. non-native cover","low","0.19 ± 0.08","0.31 ± 0.08","0.12","63","Stone Canyon"
"prop. annual cover","unburned","0.33 ± 0.07","0.48 ± 0.14","0.14","43","Stone Canyon"
"prop. annual cover","low","0.20 ± 0.08","0.35 ± 0.08","0.14","70","Stone Canyon"
"species richnes","unburned","28.90 ± NA","29.96 ± NA","1.06","4","Stone Canyon"
"species richnes","low","31.78 ± NA","32.94 ± NA","1.16","4","Stone Canyon"
"prop. non-native richness","unburned","0.21 ± 0.02","0.26 ± 0.03","0.04","21","Stone Canyon"
"prop. non-native richness","low","0.17 ± 0.02","0.22 ± 0.02","0.04","26","Stone Canyon"
"prop. annual richness","unburned","0.23 ± 0.02","0.28 ± 0.03","0.04","18","Stone Canyon"
"prop. annual richness","low","0.23 ± 0.02","0.27 ± 0.02","0.04","19","Stone Canyon"
