"site","Predictor","Estimate_NH4","Std.Estimate_NH4","Significance_NH4","Estimate_NO3","Std.Estimate_NO3","Significance_NO3","Estimate_PO4","Std.Estimate_PO4","Significance_PO4","Estimate_plot.cov","Std.Estimate_plot.cov","Significance_plot.cov","Estimate_prop.inv.cov","Std.Estimate_prop.inv.cov","Significance_prop.inv.cov","Estimate_prop.ann.cov","Std.Estimate_prop.ann.cov","Significance_prop.ann.cov","Estimate_plot.rich","Std.Estimate_plot.rich","Significance_plot.rich","Estimate_prop.inv.sp","Std.Estimate_prop.inv.sp","Significance_prop.inv.sp","Estimate_prop.ann.sp","Std.Estimate_prop.ann.sp","Significance_prop.ann.sp"
"Quarry","Burn.Severity","0.054 (0.008)","0.936","***","0.006 (0.076)","0.011","","0.000 (0.038)","0.000","","-4.068 (5.646)","-0.143","","0.028 (0.048)","0.121","","0.099 (0.050)","0.362","","-0.134 (0.066)","-0.400","*","0.029 (0.017)","0.348","","0.077 (0.023)","0.571","**"
"Quarry","Treatment","0.061 (0.029)","0.469","*","1.685 (0.296)","1.212","***","0.911 (0.146)","1.333","***","-20.383 (16.342)","-0.318","","0.248 (0.140)","0.473","","0.311 (0.144)","0.503","*","0.206 (0.190)","0.274","","0.026 (0.048)","0.136","","0.035 (0.066)","0.116",""
"Quarry","Burn.Severity:Treatment","-0.041 (0.011)","-0.918","***","-0.280 (0.108)","-0.593","*","-0.191 (0.053)","-0.825","***",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quarry","NO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.226 (8.955)","-0.048","","-0.139 (0.076)","-0.369","","-0.037 (0.079)","-0.084","","-0.137 (0.105)","-0.252","","-0.031 (0.026)","-0.225","","0.025 (0.036)","0.113",""
"Quarry","NH4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-51.948 (89.441)","-0.106","","0.314 (0.764)","0.078","","0.574 (0.786)","0.121","","1.921 (1.031)","0.333","","0.231 (0.263)","0.159","","0.209 (0.359)","0.090",""
"Quarry","PO4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.778 (17.619)","0.508","**","-0.178 (0.151)","-0.231","","-0.238 (0.155)","-0.263","","0.002 (0.206)","0.001","","0.038 (0.052)","0.137","","-0.078 (0.071)","-0.176",""
"Stone Canyon","Burn.Severity","-0.012 (0.004)","-0.392","**","0.098 (0.433)","0.032","","0.024 (0.223)","0.013","","-15.010 (8.975)","-0.263","","-0.176 (0.107)","-0.285","","-0.129 (0.107)","-0.209","","0.095 (0.065)","0.245","","-0.038 (0.024)","-0.276","","-0.003 (0.023)","-0.018",""
"Stone Canyon","Treatment","0.016 (0.004)","0.507","***","1.480 (0.427)","0.487","**","1.251 (0.220)","0.676","***","24.842 (9.897)","0.442","*","0.121 (0.118)","0.199","","0.143 (0.118)","0.236","","0.036 (0.071)","0.094","","0.045 (0.026)","0.324","","0.043 (0.026)","0.285",""
"Stone Canyon","NO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-3.843 (2.744)","-0.208","","-0.008 (0.033)","-0.040","","-0.003 (0.033)","-0.017","","-0.058 (0.020)","-0.463","**","0.006 (0.007)","0.142","","0.018 (0.007)","0.362","*"
"Stone Canyon","NH4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"360.335 (264.752)","0.197","","-1.586 (3.153)","-0.080","","-0.652 (3.163)","-0.033","","2.385 (1.921)","0.192","","-0.658 (0.694)","-0.146","","-0.651 (0.687)","-0.132",""
