"Response","family","link","method","R.squared","site"
"NH4","gaussian","identity","none",0.56,"Quarry"
"NO3","gaussian","identity","none",0.61,"Quarry"
"PO4","gaussian","identity","none",0.61,"Quarry"
"plot.cov","gaussian","identity","none",0.25,"Quarry"
"prop.inv.cov","gaussian","identity","none",0.18,"Quarry"
"prop.ann.cov","gaussian","identity","none",0.37,"Quarry"
"plot.rich","Negative Binomial","log","nagelkerke",0.24,"Quarry"
"prop.ann.sp","gaussian","identity","none",0.46,"Quarry"
"prop.inv.sp","gaussian","identity","none",0.26,"Quarry"
"NH4","gaussian","identity","none",0.21,"Stone Canyon"
"NO3","gaussian","identity","none",0.25,"Stone Canyon"
"PO4","gaussian","identity","none",0.47,"Stone Canyon"
"plot.cov","gaussian","identity","none",0.22,"Stone Canyon"
"prop.inv.cov","gaussian","identity","none",0.07,"Stone Canyon"
"prop.ann.cov","gaussian","identity","none",0.06,"Stone Canyon"
"plot.rich","Negative Binomial","log","nagelkerke",0.3,"Stone Canyon"
"prop.ann.sp","gaussian","identity","none",0.35,"Stone Canyon"
"prop.inv.sp","gaussian","identity","none",0.2,"Stone Canyon"
