site,species,prop,mean,duration,functional.group,status
quarry,Carex sp.,1.00,27.7,NA,gram,NA
quarry,Pseudotsuga menziesii,0.86,1.1,perennial,tree,N
quarry,Quercus gambelii,0.86,5.1,perennial,shrub,N
quarry,Mahonia repens,0.71,5.3,perennial,forb,N
quarry,Symphoricarpos albus,0.57,0.1,perennial,shrub,N
quarry,Claytonia perfoliata,0.43,0.0,annual,forb,N
quarry,Collinsia parviflora ,0.43,0.5,annual,forb,N
quarry,Galium boreale,0.43,0.0,perennial,forb,N
quarry,Ligusticum porteri,0.43,0.9,perennial,forb,N
quarry,Maianthemum stellatum,0.43,1.0,perennial,forb,N
sc,Artemesia frigida,0.94,0.9,perennial,forb,N
sc,Artemesia ludoviciana,0.88,1.9,perennial,forb,N
sc,Erigeron flagellaris,0.88,1.6,perennial,forb,N
sc,Opuntia polyacantha,0.82,0.8,perennial,shrub,N
sc,Pediomelum tenuiflorum,0.82,1.2,perennial,forb,N
sc,Bromus tectorum,0.76,7.4,annual,gram,I
sc,Hesperostipa comata,0.76,3.2,perennial,gram,N
sc,Heterotheca villosa,0.76,0.3,perennial,forb,N
sc,Oenothera suffrutescens,0.76,0.3,perennial,forb,N
sc,Yucca glauca,0.76,3.3,perennial,shrub,N
