site,Burn.Severity,community,control,treated,difference,pchange
quarry,unburned,plot.cov,45.0 ± 20.8,66.1 ± 22.5,21.2,47
quarry,low,plot.cov,55.1 ± 27.0,34.2 ± 26.0,-20.9,-38
quarry,moderate,plot.cov,33.3 ± 34.8,61.0 ± 48.4,27.7,83
quarry,high,plot.cov,33.5 ± 32.2,9.9 ± 14.0,-23.5,-70
quarry,unburned,plot.rich,14.4 ± 4.8,22.6 ± 7.9,8.1,56
quarry,low,plot.rich,25.4 ± 6.1,21.6 ± 6.6,-3.9,-15
quarry,moderate,plot.rich,23.7 ± 9.8,24.7 ± 2.7,1.0,4
quarry,high,plot.rich,17.3 ± 5.9,13.6 ± 4.0,-3.7,-21
quarry,unburned,prop.ann.cov,0.0 ± 0.0,0.1 ± 0.1,0.1,203
quarry,low,prop.ann.cov,0.4 ± 0.2,0.5 ± 0.3,0.2,53
quarry,moderate,prop.ann.cov,0.3 ± 0.3,0.5 ± 0.2,0.1,41
quarry,high,prop.ann.cov,0.4 ± 0.3,0.7 ± 0.3,0.2,46
quarry,unburned,prop.ann.sp,0.2 ± 0.2,0.2 ± 0.1,0.0,4
quarry,low,prop.ann.sp,0.3 ± 0.1,0.4 ± 0.1,0.1,23
quarry,moderate,prop.ann.sp,0.4 ± 0.1,0.4 ± 0.1,0.0,6
quarry,high,prop.ann.sp,0.4 ± 0.1,0.4 ± 0.1,-0.0,-5
quarry,unburned,prop.inv.cov,0.0 ± 0.0,0.0 ± 0.0,0.0,518
quarry,low,prop.inv.cov,0.4 ± 0.3,0.1 ± 0.2,-0.2,-59
quarry,moderate,prop.inv.cov,0.2 ± 0.2,0.3 ± 0.2,0.1,45
quarry,high,prop.inv.cov,0.2 ± 0.3,0.4 ± 0.4,0.2,109
quarry,unburned,prop.inv.sp,0.1 ± 0.1,0.2 ± 0.1,0.1,69
quarry,low,prop.inv.sp,0.2 ± 0.0,0.2 ± 0.1,-0.0,-20
quarry,moderate,prop.inv.sp,0.3 ± 0.1,0.3 ± 0.1,0.0,10
quarry,high,prop.inv.sp,0.3 ± 0.1,0.2 ± 0.1,-0.0,-12
sc,unburned,plot.cov,51.2 ± 23.8,NA,NA,NA
sc,low,plot.cov,31.4 ± 12.0,56.2 ± 34.2,24.8,79
sc,unburned,plot.rich,30.1 ± 4.2,NA,NA,NA
sc,low,plot.rich,32.0 ± 4.0,31.7 ± 8.0,-0.3,-1
sc,unburned,prop.ann.cov,0.3 ± 0.3,NA,NA,NA
sc,low,prop.ann.cov,0.2 ± 0.3,0.3 ± 0.3,0.1,61
sc,unburned,prop.ann.sp,0.2 ± 0.1,NA,NA,NA
sc,low,prop.ann.sp,0.2 ± 0.1,0.3 ± 0.1,0.1,26
sc,unburned,prop.inv.cov,0.4 ± 0.3,NA,NA,NA
sc,low,prop.inv.cov,0.2 ± 0.3,0.3 ± 0.3,0.1,40
sc,unburned,prop.inv.sp,0.2 ± 0.0,NA,NA,NA
sc,low,prop.inv.sp,0.2 ± 0.1,0.2 ± 0.1,0.0,25
